company_name,cik
B COMMUNICATIONS LTD,1402606
3SBio Inc.,1383790
"51JOB, INC.",1295484
Ballard Power Systems Inc.,1453015
"A-Power Energy Generation Systems, Ltd.",1399233
ABB LTD,1091587
Santander UK plc,1087711
RBS Holdings N.V.,1038727
ACERGY S.A.,898685
ADVANCED SEMICONDUCTOR ENGINEERING INC,1122411
ADVANTAGE ENERGY INCOME FUND,1259995
ADVANTEST CORP,1158838
AEGEAN MARINE PETROLEUM NETWORK INC.,1344376
AEGON NV,769218
AGNICO EAGLE MINES LTD,2809
AGRIA CORP,1413257
AGRIUM INC,943003
AIRMEDIA GROUP INC.,1413745
AIXTRON AG,1089496
ALADDIN KNOWLEDGE SYSTEMS LTD,911364
ALBERTA STAR DEVELOPMENT CORP,1142462
ALCATEL LUCENT,886125
ALCON INC,1167379
ALDA Pharmaceuticals Corp.,1355736
ALEXCO RESOURCE CORP,1364128
ALIMENTATION COUCHE TARD INC,1081825
ALLIANZ SE,1127508
ALLIED IRISH BANKS PLC,850364
ALMADEN MINERALS LTD,1015647
ALTO PALERMO SA APSA,1128173
ALUMINA LTD,857071
ALUMINUM CORP OF CHINA LTD,1161611
ALVARION LTD,1108332
AMADOR GOLD CORP,1266833
AMARC RESOURCES LTD,1175596
AMARIN CORP PLC\UK,897448
AMDOCS LTD,1062579
AMERICA MOVIL SAB DE CV/,1129137
AMERICAN BEVERAGE CO AMBEV,1113172
Adira Energy Ltd.,1109504
ANDINA BOTTLING CO INC,925261
ANGLO SWISS RESOURCES INC,277910
ANGLOGOLD ASHANTI LTD,1067428
ANIMAS RESOURCES LTD,1423468
ANOORAQ RESOURCES CORP,1028277
APT SATELLITE HOLDINGS LTD,1027229
ARACRUZ CELLULOSE S A,883952
ARAUCO & CONSTITUTION PULP INC,1004156
ARC ENERGY TRUST,1029509
ARGOSY MINERALS INC,1047363
ARM HOLDINGS PLC,1057997
TORM A/S,1168351
ASAT HOLDINGS LTD,1102384
ASIA SATELLITE TELECOMMUNICATIONS HOLDINGS LTD,1015276
Gerova Financial Group Ltd,1407437
ASM INTERNATIONAL N V,351483
ASML HOLDING NV,937966
ASTRAZENECA PLC,901832
ATA Inc.,1420529
ATNA RESOURCES LTD,1041548
ATTUNITY LTD,893821
AU OPTRONICS CORP,1172494
AUDIOCODES LTD,1086434
AURIZON MINES LTD,913955
AUSTRAL PACIFIC ENERGY LTD,1041829
AVINO SILVER & GOLD MINES LTD,316888
AXA,898427
AXTEL SAB DE CV,1282636
"Acorn International, Inc.",1365742
"Actions Semiconductor Co., Ltd.",1342068
AerCap Holdings N.V.,1378789
Aeterna Zentaris Inc.,1113423
Allot Communications Ltd.,1365767
PANTHERA EXPLORATION INC.,1303180
American Bonanza Gold Corp.,1072019
ArcelorMittal,1243429
NewLead Holdings Ltd.,1322587
Augusta Resource CORP,1353123
Avago Technologies Finance Pte. Ltd.,1376403
B PLUS H OCEAN CARRIERS LTD,835540
BAJA MINING CORP.,1331092
BALATON POWER INC,1132704
"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",842180
Itau Unibanco Holding S.A.,1132597
BANCO SANTANDER CHILE,1027552
BANCOLOMBIA SA,1071371
BANK BRADESCO,1160330
BANK OF CHILE,1161125
BANK OF MONTREAL /CAN/,927971
BANK OF NOVA SCOTIA /,9631
"BANK OF TOKYO - MITSUBISHI UFJ, LTD",852743
BANRO CORP,1286597
BARCLAYS BANK PLC /ENG/,312070
BARCLAYS PLC,312069
BARRICK GOLD CORP,756894
BAYTEX ENERGY TRUST,1279495
BBVA BANCO FRANCES SA,913059
BCE INC,718940
BCM RESOURCES Corp,1422085
BELLUS Health Inc.,1259942
BHP BILLITON LTD,811809
BHP BILLITON PLC,1171264
BIOTECH HOLDINGS LTD,1018153
BIOVAIL CORP INTERNATIONAL,885590
BIRKS & MAYORS INC.,1179821
Alon Holdings Blue Square - Israel Ltd,1016837
BLUEPHOENIX SOLUTIONS LTD,1029581
BONSO ELECTRONICS INTERNATIONAL INC,846546
BONTAN CORP INC,1095435
BOS BETTER ONLINE SOLUTIONS LTD,1005516
BP PLC,313807
BRASIL TELECOM HOLDING CO,1066115
BRASIL TELECOM SA,1160846
BRASKEM SA,1071438
BRAZAURO RESOURCES CORP,908177
BRAZILIAN DISTRIBUTION CO COMPANHIA BRASILEIRA DE DISTR CBD,1038572
BRAZILIAN ELECTRIC POWER CO,1439124
BRILLIANCE CHINA AUTOMOTIVE HOLDINGS LTD,891765
BRITISH SKY BROADCASTING GROUP PLC,932789
BROOKFIELD ASSET MANAGEMENT INC.,1001085
BROOKFIELD PROPERTIES CORP,1085359
BT GROUP PLC,756620
BUENAVENTURA MINING CO INC,1013131
BUFFALO GOLD LTD,1090053
R.V.B. Holdings Ltd,1064411
Fly Leasing Ltd,1407298
"Baidu, Inc.",1329099
"Ballard Power Systems, Inc.",933777
"Banco Santander, S.A.",891478
RAINCHIEF ENERGY INC.,1369128
Brookfield Infrastructure Partners L.P.,1406234
CADBURY PUBLIC LTD CO,744473
CAE INC,1173382
CAMECO CORP,1009001
CAMPBELL RESOURCES INC /NEW/,718053
CAMTEK LTD,1109138
CANADIAN IMPERIAL BANK OF COMMERCE /CAN/,1045520
CANADIAN NATIONAL RAILWAY CO,16868
CANADIAN NATURAL RESOURCES LTD,1017413
CANADIAN PACIFIC RAILWAY CO/NEW,1166893
CANADIAN PACIFIC RAILWAY LTD/CN,16875
CANADIAN ZINC CORP,910569
CANALASKA URANIUM LTD,1023109
CANARC RESOURCE CORP,868822
CANON INC,16988
CANPLATS RESOURCES CORP,1156297
CANWEST MEDIA INC,1158672
CARDERO RESOURCE CORP.,1303936
CASCADES INC,1225525
CATALYST PAPER CORP,1144906
CDC CORP,1076770
CE FRANKLIN LTD,912151
CELESTICA INC,1030894
CEMEX SAB DE CV,1076378
CENTRAL FUND OF CANADA LTD,784959
CENTRAL SUN MINING INC.,1311967
CERAGON NETWORKS LTD,1119769
CGG VERITAS,1037962
CGI GROUP INC,1061574
CHAI NA TA CORP,889329
Globalfoundries Singapore PTE. LTD.,1095270
CHECK POINT SOFTWARE TECHNOLOGIES LTD,1015922
CHEMGENEX PHARMACEUTICALS LTD,1175965
CHEMICAL & MINING CO OF CHILE INC,909037
CHINA EASTERN AIRLINES CORP LTD,1030475
CHINA ENTERPRISES LTD,908256
CHINA LIFE INSURANCE CO LTD,1268896
CHINA MOBILE LTD /ADR/,1117795
CHINA NATURAL RESOURCES INC,793628
CHINA PETROLEUM & CHEMICAL CORP,1123658
CHINA SOUTHERN AIRLINES CO LTD,1041668
CHINA TECHNOLOGY DEVELOPMENT GROUP CORP,1027454
CHINA TELECOM CORP LTD,1191255
CHINA UNICOM (HONG KONG) Ltd,1113866
CHINA YUCHAI INTERNATIONAL LTD,932695
CHIPMOS TECHNOLOGIES BERMUDA LTD,1133478
CHUNGHWA TELECOM CO LTD,1132924
CIBT Education Group Inc.,1123870
CIMATRON LTD,1008595
CITY TELECOM (H.K.) LTD,1097086
CLAUDE RESOURCES INC,1173924
CLICKSOFTWARE TECHNOLOGIES LTD,1105841
CNH GLOBAL N V,1024519
CNINSURE INC.,1413855
CNOOC LTD,1095595
COCA COLA FEMSA SAB DE CV,910631
COCA-COLA HELLENIC BOTTLING CO SA,1190713
COMANCHE CLEAN ENERGY CORP,1396762
COMMTOUCH SOFTWARE LTD,1084577
COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO-SABESP,1170858
COMPTON PETROLEUM CORP,1043572
COMPUGEN LTD,1119774
CONCHA Y TORO WINERY INC,930543
CONSOLIDATED MERCANTILE INC,784012
